Pos,Race No,Wave,Flag,Name,Time,Net Time,Category,Cat Pos,Gender,Gen Pos,Club,Country
18122,53493,S - Group 2,ZA,Abel THOMO,11:59:07,11:54:21,Senior,4279,Male,14579,SOUTH AFRICAN POLICE SERVICE MARATHON CLUB MPU,South Africa
18123,19470,S - Group 2,ZA,Themba MPOSULA,11:59:07,11:53:44,40-49,6464,Male,14580,SASOL MARATHON CLUB,South Africa
18124,27406,L - Group 2,ZA,Rastrata RATSELA,11:59:08,11:56:15,50-59,3140,Male,14581,TSUTSUMANI AC,South Africa
18125,42486,S - Group 2,ZA,Fikile THABEDE,11:59:08,11:55:36,40-49,1582,Female,3544,EVANDER AC,South Africa
18126,11199,Q - Group 2,ZA,Ntokozo NGUBANE,11:59:09,11:55:17,40-49,6465,Male,14582,TEAM VITALITY ATLETIC CLUB GN,South Africa
18127,39807,H - Group 1,ZA,Zola BULWANA,11:59:09,11:54:09,50-59,3141,Male,14583,CHEETHAS AC TRANSKEI,South Africa
18128,53186,L - Group 2,ZA,Henk CARSTENS,11:59:10,11:57:52,50-59,3142,Male,14584,STELLENBOSCH AC,South Africa
18129,23417,P - Group 2,ZA,Richard BURTON,11:59:10,11:56:01,50-59,3143,Male,14585,MAGNOLIA ROAD RUNNERS,South Africa
18130,56959,N - Group 2,ZA,Joseph TSUKULU,11:59:11,11:55:28,50-59,3144,Male,14586,CENTRE CITY TITANIUMS AC,South Africa
18131,22493,L - Group 2,ZA,Bongumusa NGCOBO,11:59:13,11:59:05,50-59,3145,Male,14587,TEAM VITALITY CLUB KZN,South Africa
18132,28749,R - Group 2,ZA,Melkim MARAIS,11:59:13,11:54:46,Senior,4280,Male,14588,FOCHVILLE MARATHON CLUB,South Africa
18133,8929,P - Group 2,ZA,Russell GREBE,11:59:13,11:56:39,60-69,666,Male,14589,CELTIC HARRIERS,South Africa
18134,46611,Q - Group 2,ZA,Fellicia SKOSANA,11:59:13,11:54:38,Senior,1293,Female,3545,WATERFALL AC,South Africa
18135,34436,J - Group 1,ZA,Onars SITHOLE,11:59:14,11:53:47,40-49,6466,Male,14590,BEEFCOR RUNNING CLUB,South Africa
18136,44598,L - Group 2,ZA,Piet ADAMS,11:59:14,11:58:07,50-59,3146,Male,14591,THUNGELA AC,South Africa
18137,11038,R - Group 2,ZA,Johannes TSOTETSI,11:59:14,11:54:16,40-49,6467,Male,14592,OMNIA ATHLETICS CLUB,South Africa
18138,22042,R - Group 2,ZA,Brian MOYO,11:59:15,11:54:15,Senior,4281,Male,14593,JOHANNESBURG HARRIERS AC,South Africa
18139,43368,Q - Group 2,ZA,Simon MOKHETHI,11:59:15,11:54:29,50-59,3147,Male,14594,MIDRAND STRIDERS,South Africa
18140,43177,S - Group 2,ZA,Simeon VAN HEERDEN,11:59:15,11:56:28,Senior,4282,Male,14595,NEDBANK RUNNING CLUB GN,South Africa
18141,43783,L - Group 2,ZA,Nkosinathi NDLOVU,11:59:16,11:58:24,50-59,3148,Male,14596,HOLLYWOOD AC KZNA,South Africa
18142,36668,R - Group 2,ZA,Saville RIBERTS,11:59:16,11:53:34,50-59,3149,Male,14597,JAGUARS AC CG,South Africa
18143,59962,Q - Group 2,ZA,Welile KHESWA,11:59:17,11:55:49,40-49,1583,Female,3546,THUNGELA AC,South Africa
18144,35719,P - Group 2,BW,Arona MOOKETSANA,11:59:17,11:56:12,40-49,6468,Male,14598,GABORONE STRIDERS,Botswana
18145,8272,K - Group 2,DE,Klaus NEUMANN,11:59:17,11:59:09,70+,34,Male,14599,,Germany
18146,41730,L - Group 2,ZA,Jan GREEFF,11:59:18,11:59:02,70+,35,Male,14600,KIMBERLEY HARRIERS,South Africa
18147,53052,J - Group 1,ZA,Dale DEORAJ,11:59:19,11:54:05,Senior,4283,Male,14601,TEAM VITALITY CLUB CG,South Africa
18148,35794,S - Group 2,ZA,Nomalanga TASANA,11:59:22,11:56:17,40-49,1584,Female,3547,MELKBOS AC,South Africa
18149,39821,Q - Group 2,ZA,Charl VAN DEN BERGH,11:59:23,11:56:36,Senior,4284,Male,14602,ZULULAND MULTI SPORT CLUB,South Africa
18150,21377,R - Group 2,ZA,Lesego THOMAS,11:59:23,11:54:50,Senior,4285,Male,14603,WATERFALL AC,South Africa
18151,37877,S - Group 2,IN,Anand PATEL,11:59:24,11:53:43,40-49,6469,Male,14604,RUN2FITNESS,India
18152,11031,R - Group 2,ZA,Nkoane SEKWATI,11:59:25,11:55:44,50-59,3150,Male,14605,MAKHUDUTHAMAGA AC,South Africa
18153,47819,S - Group 2,ZA,Ditshego MAMPANE,11:59:26,11:56:52,40-49,1585,Female,3548,TEAM VITALITY ATLETIC CLUB GN,South Africa
18154,44234,R - Group 2,ZA,Khangwelo NEMATANDANI,11:59:28,11:54:52,Senior,4286,Male,14606,BLACK DIAMOND AC,South Africa
18155,38942,Q - Group 2,ZW,Vengai BUSHU,11:59:29,11:56:52,50-59,3151,Male,14607,EMALAHLENI CITY MARATHON CLUB,Zimbabwe
18156,21056,S - Group 2,ZA,Riaan DE VILLIERS,11:59:29,11:54:02,40-49,6470,Male,14608,VAN DER MERWE & ROBERTSON DURBANVILLE AC,South Africa
18157,15372,Q - Group 2,ZA,Duduzile MAZIBUKO,11:59:29,11:58:16,50-59,558,Female,3549,MAMELODI STRIDERS AC,South Africa
18158,42794,S - Group 2,ZA,Morwe LEEU,11:59:31,11:54:15,40-49,6471,Male,14609,VITAL FITNESS AC,South Africa
18159,17468,G - Group 1,ZA,Lindelani MTSHALI,11:59:31,11:57:00,Senior,4287,Male,14610,NRB HARRIERS,South Africa
18160,58529,M - Group 2,ZA,Henri-Jonn SCHULZ,11:59:32,11:58:45,Senior,4288,Male,14611,PIERRE VAN RYNEVELD AC,South Africa
18161,16707,L - Group 2,ZA,Thandi JIYANE,11:59:33,11:58:43,40-49,1586,Female,3550,VUTHA AC,South Africa
18162,15908,R - Group 2,ZA,Zukiswa NKAYI,11:59:33,11:55:49,50-59,559,Female,3551,RIVERSIDE HARRIERS,South Africa
18163,33115,S - Group 2,ZA,Phumzile Precious MAGAGULA,11:59:33,11:54:06,40-49,1587,Female,3552,CITY OF EKURHULENI AC,South Africa
18164,23935,L - Group 2,ZA,Gina CASKIE,11:59:33,11:58:31,40-49,1588,Female,3553,HOWICK AC,South Africa
18165,30527,Wheelchair,ZA,Chantal FISHER,11:59:33,11:59:33,40-49,1589,Female,3554,CHAELI SPORTS & RECREATION CLUB,South Africa
18166,35059,Wheelchair,ZA,Michaela MYCROFT,11:59:36,11:59:36,Senior,1294,Female,3555,CHAELI SPORTS & RECREATION CLUB,South Africa
18167,49669,Wheelchair,ZA,Jerome SWARTZ,11:59:36,11:59:36,50-59,3152,Male,14612,MITCHELLS PLAIN TITANS,South Africa
18168,56773,F - Group 1,ZA,Lucas Nkoro MOLEPO,11:59:36,11:57:45,60-69,667,Male,14613,POLOKWANE AC,South Africa
18169,50611,Q - Group 2,ZA,Mpho MDUTYANA,11:59:37,11:54:31,40-49,1590,Female,3556,KIMBERLEY ROAD RUNNERS,South Africa
18170,39702,S - Group 2,ZA,Edwin Amogelang PULE,11:59:37,11:54:09,40-49,6472,Male,14614,WATERFALL AC,South Africa
18171,15466,L - Group 2,ZA,Mkhulu MASEKO,11:59:37,11:58:29,50-59,3153,Male,14615,WONDERPARK AC,South Africa
18172,53958,P - Group 2,NA,Nangolo ASHIPALA,11:59:38,11:55:43,Senior,4289,Male,14616,WINDHOEK CITY RUNNERS CLUB,Namibia
18173,5984,L - Group 2,ZA,Theunis ENGELBRECHT,11:59:38,11:59:07,40-49,6473,Male,14617,ALPHA CENTURION RUNNERS & WALKERS,South Africa
18174,17124,S - Group 2,ZA,Mafika DLAMINI,11:59:39,11:54:12,40-49,6474,Male,14618,PHUMA KZN AC,South Africa
18175,14995,M - Group 2,ZA,Paulus MATSIMANE,11:59:39,11:56:31,40-49,6475,Male,14619,SASOL MARATHON CLUB,South Africa
18176,32640,S - Group 2,ZA,Nkosinathi NDLOVU,11:59:40,11:54:51,Senior,4290,Male,14620,COLLEGIANS HARRIERS,South Africa
18177,21225,M - Group 2,ZA,Gina KRINSKY,11:59:41,11:58:50,Senior,1295,Female,3557,ATLANTIC AC,South Africa
18178,36055,R - Group 2,ZA,Phakamisa MATINISI,11:59:43,11:55:08,40-49,6476,Male,14621,KOMANI RUNNERS CLUB,South Africa
18179,6042,P - Group 2,ZA,Matete SEKHWELA,11:59:44,11:55:46,Senior,4291,Male,14622,WATERFALL AC,South Africa
18180,6772,L - Group 2,ZA,Suleman ESSACK,11:59:44,11:58:10,60-69,668,Male,14623,CRESCENT SPORTING CLUB,South Africa
18181,56537,S - Group 2,ZA,Mabhodla MBONAMBI,11:59:45,11:57:21,40-49,6477,Male,14624,ETHEKWENI RUNNING CLUB,South Africa
18182,51731,S - Group 2,ZA,Lerato MAKGAKGA,11:59:47,11:54:12,Senior,1296,Female,3558,TSAKANE AC,South Africa
18183,51989,M - Group 2,ZA,Zethu KHOMO,11:59:47,11:58:12,Senior,1297,Female,3559,EMPANGENI AC,South Africa
18184,7743,R - Group 2,ZA,Babalwa NOMPUKANE,11:59:48,11:56:26,40-49,1591,Female,3560,VUKANI MULTISPORT,South Africa
18185,36721,L - Group 2,ZA,Petrus MAGONGWE,11:59:48,11:59:36,50-59,3154,Male,14625,NORTHAM PLATINUM MINE AC,South Africa
18186,38233,H - Group 1,ZA,Torianno TOPLEY,11:59:48,11:55:25,40-49,6478,Male,14626,ASICS AC WP,South Africa
18187,51595,Q - Group 2,ZA,Akim MILAZI,11:59:49,11:56:23,40-49,6479,Male,14627,BELLA'S AC,South Africa
18188,51108,M - Group 2,ZA,Jeffrey Buisiwe MTHITHALA,11:59:49,11:58:21,50-59,3155,Male,14628,KWA-THEMA STRIDERS,South Africa
18189,8025,N - Group 2,ZA,Brynn JANEKE,11:59:50,11:56:00,50-59,3156,Male,14629,SOMERSET STRIDERS,South Africa
18190,30169,Q - Group 2,ZA,Sello KOYO,11:59:50,11:55:21,50-59,3157,Male,14630,TEAM VITALITY CLUB CG,South Africa
18191,1550,L - Group 2,ZA,David WILLIAMS,11:59:50,11:59:23,70+,36,Male,14631,SAVAGES AC,South Africa
18192,23337,Q - Group 2,ZA,Mogapi MAKEKETA,11:59:50,11:57:18,60-69,669,Male,14632,SWEET SOLES AC,South Africa
18193,14045,L - Group 2,ZA,Mahomed CHAN GOOLAM,11:59:51,11:58:33,60-69,670,Male,14633,PRETORIA POLICE MARATHON CLUB,South Africa
18194,40965,R - Group 2,ZA,Mpho RAMABULANA,11:59:52,11:54:38,40-49,6480,Male,14634,THE HILLS AC,South Africa
18195,52342,S - Group 2,ZA,Brian UBISI,11:59:52,11:54:45,Senior,4292,Male,14635,ORCAS ACADEMY RUNNING CLUB,South Africa
18196,55360,Q - Group 2,ZA,Jean DU PREEZ,11:59:52,11:56:37,40-49,6481,Male,14636,HELDERBERG HARRIERS,South Africa
18197,47253,S - Group 2,ZA,Obed BALOYI,11:59:53,11:55:48,40-49,6482,Male,14637,MAMELODI STRIDERS AC,South Africa
18198,58310,M - Group 2,ZA,Sivuyile NTETE,11:59:53,11:57:21,Senior,4293,Male,14638,TEAM VITALITY CLUB CG,South Africa
18199,54137,J - Group 1,ZA,Sandile DLADLA,11:59:56,11:56:00,40-49,6483,Male,14639,TEAM VITALITY CLUB CG,South Africa
18200,50942,L - Group 2,ZA,Takalani RAMAWA,11:59:56,11:58:51,50-59,3158,Male,14640,MOUNT EVEREST AC,South Africa
18201,30039,Q - Group 2,ZA,Zimkhitha QASHANI,11:59:56,11:56:21,Senior,1298,Female,3561,STELLA AC,South Africa
18202,6701,R - Group 2,ZA,Tshepo MASOLENG,11:59:56,11:55:05,50-59,3159,Male,14641,MANONI RUNNING CLUB,South Africa
18203,55379,H - Group 1,ZA,Shane MOODLEY,11:59:56,11:55:36,50-59,3160,Male,14642,DURBAN HIGH SCHOOL OLD BOYS AC,South Africa
18204,56746,L - Group 2,ZA,Petros MBOKAZI,11:59:57,11:59:27,50-59,3161,Male,14643,HARAMBE 2040 ATHLETIC CLUB,South Africa
18205,28991,P - Group 2,ZA,Clifford WOODROFFE,11:59:57,11:56:15,50-59,3162,Male,14644,IRENE ATHLETICS CLUB,South Africa
18206,49440,P - Group 2,ZA,Zakhele TSHABALALA,11:59:57,11:58:08,40-49,6484,Male,14645,SAPS HEAD OFFICE AC,South Africa
18207,3017,L - Group 2,ZA,Brad NADAULD,11:59:59,11:59:31,40-49,6485,Male,14646,OLYMPIC SPARTAN HARRIERS,South Africa
18208,19652,N - Group 2,BW,Jonathan BAUMAKE,11:59:59,11:57:39,50-59,3163,Male,14647,GABORONE STRIDERS,Botswana
18209,51685,J - Group 1,ZA,Gangatha MKELE,12:00:00,11:57:01,40-49,6486,Male,14648,PANORAMA RUNNING CLUB,South Africa
,288,B - Group 1,ZA,Michael BODEN,Started,Started,Senior,,Male,,HILTON HARRIERS,South Africa
,2610,L - Group 2,ZA,Pathamanathan PILLAY,Started,Started,70+,,Male,,SAVE ORION AC,South Africa
,5215,G - Group 1,ZA,Jaco DU PLOOY,Started,Started,50-59,,Male,,HARTBEESPOORT MARATHON CLUB CNW,South Africa
,5477,H - Group 1,ZA,Pieter LOUW,Started,Started,60-69,,Male,,HARTBEESPOORT MARATHON CLUB CNW,South Africa
,6987,J - Group 1,ZA,Craig DALZIEL,Started,Started,40-49,,Male,,JEPPE QUONDAM AC,South Africa
,7874,S - Group 2,ZA,Lettie SELOANA,Started,Started,40-49,,Female,,STANDARD BANK AC,South Africa
,8368,S - Group 2,ZA,Olebogeng MOTSWAI,Started,Started,40-49,,Male,,TEAM VITALITY ATLETIC CLUB GN,South Africa
,8743,J - Group 1,ZA,Floors WELTHAGEN,Started,Started,60-69,,Male,,SPORTFIT MULTI-SPORT,South Africa
,9081,J - Group 1,ZA,Degracia Kelebogile MNDEBELE,Started,Started,50-59,,Female,,HOLLYWOOD AC CGA,South Africa
,9702,Q - Group 2,ZA,Mapula MAHLO,Started,Started,50-59,,Female,,ZERO ONE FIVE RUNNING CLUB,South Africa
,9925,M - Group 2,ZA,Modise MOTLHAOLWA,Started,Started,40-49,,Male,,TEAM VITALITY CLUB CG,South Africa
,10461,L - Group 2,ZA,Sipho MTSHALI,Started,Started,50-59,,Male,,HOLLYWOOD AC KZNA,South Africa
,10562,L - Group 2,ZA,Masetho DIKGOLE,Started,Started,40-49,,Female,,RUN ZONE AC,South Africa
,10589,L - Group 2,ZA,Danie STANDER,Started,Started,60-69,,Male,,PHOBIANS,South Africa
,11365,R - Group 2,ZA,Theunis Phillipus VAN STADEN,Started,Started,40-49,,Male,,MAGNOLIA ROAD RUNNERS,South Africa
,11785,P - Group 2,ZA,Philani VUNDLA,Started,Started,50-59,,Male,,STANDARD BANK AC,South Africa
,11927,L - Group 2,ZA,Graeme RENNIE,Started,Started,60-69,,Male,,IRENE ATHLETICS CLUB,South Africa
,12148,S - Group 2,ZA,Tebogo SHOAI,Started,Started,Senior,,Female,,THEMBISA AC CG,South Africa
,13073,Q - Group 2,ZA,Halekopane MATSIPA,Started,Started,50-59,,Male,,SOWETO CABAL AC,South Africa
,13625,Q - Group 2,ZA,Moratehi Elliot MELAMU,Started,Started,40-49,,Male,,SOUTH AFRICAN NATIONAL DEFENCE FORCE KZN,South Africa
,13899,R - Group 2,ZA,Edwin SCHOEMAN,Started,Started,Senior,,Male,,KLERKSDORP MARATHON CLUB,South Africa
,14189,A - Group 1,LS,Jobo KHATOANE,Started,Started,Senior,,Male,,MAXED ELITE LESOTHO,Lesotho
,14368,L - Group 2,ZA,Cyril UITHALER,Started,Started,60-69,,Male,,GELVAN AC,South Africa
,15360,L - Group 2,ZA,Edmund MATHABELA,Started,Started,60-69,,Male,,FORD AC,South Africa
,15428,S - Group 2,ZA,Katlego DIALE,Started,Started,40-49,,Female,,TEAM VITALITY ATLETIC CLUB GN,South Africa
,15605,R - Group 2,ZA,Geboh ZULU,Started,Started,40-49,,Female,,REMMOGO AC,South Africa
,15834,L - Group 2,ZA,Hansie LOUW,Started,Started,60-69,,Male,,HERBALIFE SPORTS CLUB,South Africa
,16564,J - Group 1,ZA,Suzan MASINA,Started,Started,50-59,,Female,,BENONI NORTHERNS AC,South Africa
,17027,G - Group 1,FR,Nicolas JAOUEN,Started,Started,40-49,,Male,,,France
,17709,Q - Group 2,ZA,Busisiwe BUTHELEZI,Started,Started,40-49,,Female,,RAND WATER AC,South Africa
,17867,C - Group 1,ZA,Danie BRUWER,Started,Started,40-49,,Male,,CAPE MULTI SPORT CLUB,South Africa
,18614,M - Group 2,ZA,Sibongile MASHIYI,Started,Started,40-49,,Female,,RCS GUGULETU AC,South Africa
,18887,M - Group 2,ZA,Khwezi NKONKI,Started,Started,50-59,,Male,,TEAM VITALITY CLUB CG,South Africa
,19338,M - Group 2,ZA,Benjamin MANASOE,Started,Started,40-49,,Male,,MANONG AC,South Africa
,19464,L - Group 2,ZA,Chris WIESE,Started,Started,50-59,,Male,,32GI RUNNING CLUB SWD,South Africa
,20020,P - Group 2,ZA,Mmiseni BIYELA,Started,Started,50-59,,Male,,ESHOWE STRIDERS ATHLETICS CLUB,South Africa
,20057,S - Group 2,ZA,Ketla MADILENG,Started,Started,Senior,,Female,,TEAM VITALITY ATLETIC CLUB GN,South Africa
,20062,H - Group 1,ZA,Rajan MUNESAR,Started,Started,60-69,,Male,,WOODVIEW AC,South Africa
,20443,L - Group 2,ZA,Thejane MOKOENA,Started,Started,60-69,,Male,,ACTOM ATHLETIC CLUB,South Africa
,20571,L - Group 2,ZA,Kaleo FOURIE,Started,Started,40-49,,Female,,STELLENBOSCH AC,South Africa
,20703,Q - Group 2,ZA,Given RAGIVHANI,Started,Started,Senior,,Male,,RUN ALEX ATHLETICS CLUBS CGA,South Africa
,20870,K - Group 2,ZA,Wilhelm DANNHEIMER,Started,Started,Senior,,Male,,PHOBIANS,South Africa
,21008,L - Group 2,ZA,Cordelia KISTEN,Started,Started,50-59,,Female,,PHOENIX VILLAGERS AC,South Africa
,21570,B - Group 1,ZA,Jacky MOTIMELE,Started,Started,Senior,,Male,,SOUTH AFRICAN NATIONAL DEFENCE FORCE LIM,South Africa
,21978,L - Group 2,ZA,Hamilton HADEBE,Started,Started,60-69,,Male,,HOLLYWOOD AC KZNA,South Africa
,22063,M - Group 2,ZA,Ntombela YUZA EDWARD,Started,Started,40-49,,Male,,RUNNERS OF HOPE,South Africa
,23235,R - Group 2,ZA,Dirk ODENDAAL,Started,Started,40-49,,Male,,BENONI NORTHERNS AC,South Africa
,23564,L - Group 2,ZA,Helie Louise UYS,Started,Started,60-69,,Female,,GONUBIE HARRIERS,South Africa
,24064,P - Group 2,ZA,Phindile MOYENI,Started,Started,40-49,,Male,,CHEETHAS AC TRANSKEI,South Africa
,24448,M - Group 2,ZA,Mhlompheni ZWANE,Started,Started,50-59,,Male,,MANDENI HARRIERS,South Africa
,24980,J - Group 1,ZA,Makaya DUNGU,Started,Started,50-59,,Male,,ORIGINAL MAMBAS AC,South Africa
,25379,H - Group 1,ZA,Patrick MABENA,Started,Started,50-59,,Male,,,South Africa
,25423,C - Group 1,ZA,Tebogo MOKGALO,Started,Started,40-49,,Male,,MOGALE CITIZENS AC,South Africa
,25448,L - Group 2,ZA,Xolani MBOMBELA,Started,Started,50-59,,Male,,AEROBICS FOR ALL AC,South Africa
,25766,P - Group 2,ZA,Nhlanhla ZWANA,Started,Started,Senior,,Female,,AZANIA AC,South Africa
,25847,R - Group 2,ZA,Charlton ENGELBRECHT,Started,Started,Senior,,Male,,OMMIEDRAAI FRIENDS AC,South Africa
,27893,Q - Group 2,ZA,Zeki SHIRINZA,Started,Started,40-49,,Male,,STANDARD BANK AC,South Africa
,27989,R - Group 2,ZA,Nombuso MSOMI,Started,Started,40-49,,Female,,CORRECTIONAL SERVICES KZN,South Africa
,28018,F - Group 1,ZA,Sonny LEOPENG,Started,Started,60-69,,Male,,LESEDI AC,South Africa
,28055,L - Group 2,ZA,Lerato MOLOMO,Started,Started,40-49,,Female,,POLOKWANE AC,South Africa
,28204,N - Group 2,ZA,Zazele KHUMALO,Started,Started,50-59,,Male,,HOLLYWOOD AC KZNA,South Africa
,28423,M - Group 2,ZA,Gabo KEOHITLHETSE,Started,Started,40-49,,Male,,AZANIA AC,South Africa
,28928,J - Group 1,ZA,Dan MAMOGWE,Started,Started,40-49,,Male,,KIMBERLEY HARRIERS,South Africa
,29783,Q - Group 2,ZA,Tshepo MOTSWENYANE,Started,Started,40-49,,Male,,TEAM VITALITY ATLETIC CLUB GN,South Africa
,30175,L - Group 2,ZA,Guy SHEPSTONE,Started,Started,60-69,,Male,,LAKE UMUZI SECUNDA MARATHON CLUB,South Africa
,30700,G - Group 1,ZA,Andros MAHLALELA,Started,Started,Senior,,Male,,GIJIMA NKMAZI AC,South Africa
,31259,B - Group 1,ZA,Rhett FLANAGAN,Started,Started,Senior,,Male,,ATLANTIC AC,South Africa
,31376,N - Group 2,ZA,Njabulo DLAMINI,Started,Started,50-59,,Male,,HOLLYWOOD AC KZNA,South Africa
,32684,S - Group 2,ZA,Bukiswa NYANGENI,Started,Started,40-49,,Female,,SAPS STRIDERS (BORDER),South Africa
,32859,S - Group 2,ZA,Peter DITHIPE,Started,Started,Senior,,Male,,ZWAKALA AC,South Africa
,33451,S - Group 2,ZA,Lebogang MAKOFANE,Started,Started,40-49,,Female,,PRETORIA MILITARY MARATHON CLUB,South Africa
,33530,S - Group 2,BR,Adauto LIMA,Started,Started,40-49,,Male,,ALPHARUN ESPORTE INTELIGENTE,Brazil
,34194,P - Group 2,ZA,Mathiba SESING,Started,Started,50-59,,Male,,PAMOJA ATHLETICS CLUB,South Africa
,34285,Q - Group 2,ZA,Matthews BALOYI,Started,Started,40-49,,Male,,STANDARD BANK AC,South Africa
,34510,R - Group 2,ZA,Carel VAN AARDT,Started,Started,60-69,,Male,,GREEN MILE AC,South Africa
,34656,L - Group 2,ZA,Ian ZUNCKEL,Started,Started,50-59,,Male,,DOLPHIN COAST STRIDERS,South Africa
,34956,R - Group 2,BJ,Bio André LAFIA MONRA,Started,Started,Senior,,Male,,5SAC,Benin
,35071,L - Group 2,ZA,Pieter DE BRUIN,Started,Started,50-59,,Male,,AMANZIMTOTI AC,South Africa
,35185,R - Group 2,ZA,Raisibe Gladys TEFFO,Started,Started,40-49,,Female,,BLACK DIAMOND AC,South Africa
,35419,G - Group 1,ZA,Bradley Robert HUNTER,Started,Started,Senior,,Male,,DOLPHIN COAST STRIDERS,South Africa
,35430,S - Group 2,ZA,Brian BOOTH,Started,Started,50-59,,Male,,BLOEMFONTEIN STRIDERS,South Africa
,35509,R - Group 2,ZA,Jocelyn FINNIE,Started,Started,Senior,,Female,,SOCIAL RUNNERS CLUB,South Africa
,35527,L - Group 2,ZA,Frederik POTGIETER,Started,Started,50-59,,Male,,BLUFF AC,South Africa
,35588,M - Group 2,ZA,Tanya BENTLEY,Started,Started,Senior,,Female,,TEAM VITALITY AC EP,South Africa
,35791,N - Group 2,ZA,Yusuf KHAN,Started,Started,50-59,,Male,,TEAM VITALITY CLUB CG,South Africa
,36009,L - Group 2,ZA,Emanuel Khisimusi MUSHWANA,Started,Started,60-69,,Male,,LETABA ROAD RUNNERS,South Africa
,36053,L - Group 2,ZA,Emmah NGWENYA,Started,Started,60-69,,Female,,ABSA GROUP RUNNING CLUB,South Africa
,36069,P - Group 2,ZA,Khauli SAMUEL,Started,Started,40-49,,Male,,SAPS HEAD OFFICE AC,South Africa
,36092,S - Group 2,ZA,Catherine SMOUS,Started,Started,40-49,,Female,,DITSOBOTLA RUNNING CLUB,South Africa
,36268,R - Group 2,ZA,Selatole NKADIMENG,Started,Started,40-49,,Male,,SOWETO CABAL AC,South Africa
,36280,L - Group 2,ZA,Maranata MC COLL,Started,Started,50-59,,Female,,TURN 2 GOD AC CNW,South Africa
,36552,S - Group 2,ZA,Lita ROUX,Started,Started,50-59,,Female,,PAARL AC,South Africa
,36866,D - Group 1,ZA,Ivo RUST,Started,Started,Senior,,Male,,MAVERICK ATHLETIC CLUB,South Africa
,36960,R - Group 2,IN,Benny DEVASSY,Started,Started,50-59,,Male,,RUNTASTICS DILSE,India
,37072,N - Group 2,ZA,Mark GOOD,Started,Started,50-59,,Male,,PHOBIANS,South Africa
,37686,N - Group 2,ZA,Brett SANDOW,Started,Started,40-49,,Male,,OXFORD STRIDERS,South Africa
,37784,J - Group 1,ZA,Moses Enock HLATSHWAYO,Started,Started,50-59,,Male,,CITY OF EKURHULENI AC,South Africa
,37794,L - Group 2,ZA,Kumar GOVENDER,Started,Started,60-69,,Male,,MOUNT EDGECOMBE VILLAGERS,South Africa
,37928,L - Group 2,ZA,Tumelo MAHLABA,Started,Started,50-59,,Male,,HOLLYWOOD AC AFS,South Africa
,38112,N - Group 2,US,Kevin HOLLEY,Started,Started,60-69,,Male,,,United States of America (the)
,38126,Q - Group 2,ZA,Tycoon DIMBA,Started,Started,50-59,,Male,,ABAGIJIMI AC,South Africa
,38341,B - Group 1,US,Jack SAYERS,Started,Started,40-49,,Male,,,United States of America (the)
,38775,F - Group 1,ZA,Brett WOOD,Started,Started,40-49,,Male,,TEAM VITALITY AC WP,South Africa
,39007,R - Group 2,ZA,Gerhard RAS,Started,Started,40-49,,Male,,KEMPTON ROAD RUNNERS,South Africa
,39127,S - Group 2,ZA,Sibulele TENGANA,Started,Started,50-59,,Female,,RCS GUGULETU AC,South Africa
,39720,J - Group 1,ZA,Leigh-Ann MARUCCHI,Started,Started,50-59,,Female,,BOKSBURG AC,South Africa
,40457,S - Group 2,GB,Marvin PEART,Started,Started,50-59,,Male,,BLACK TRAIL RUNNERS,United Kingdom
,40621,L - Group 2,ZW,Phillemon DHLIWAYO,Started,Started,50-59,,Male,,XCEL RUNNING  CLUB,Zimbabwe
,40863,L - Group 2,ZA,Leoni VINK,Started,Started,40-49,,Female,,ASSEGAAI MARATHON CLUB,South Africa
,40916,E - Group 1,ZA,Madule MASILO,Started,Started,40-49,,Male,,295 POPUP RUN CLUB,South Africa
,40925,R - Group 2,ZA,Nicodemus MOGOTSI,Started,Started,50-59,,Male,,MADOKO AC,South Africa
,40930,H - Group 1,ZA,Bongile BINASE,Started,Started,Senior,,Male,,TEAM VITALITY CLUB CG,South Africa
,41090,R - Group 2,ZA,Ntomboxolo MADOLO,Started,Started,Senior,,Female,,GAUTENG HEALTH AC,South Africa
,41285,L - Group 2,ZA,Nols WIESE,Started,Started,50-59,,Male,,SOUTH AFRICAN POLICE SERVICE WP,South Africa
,41621,S - Group 2,ZA,Andrew PEEL,Started,Started,50-59,,Male,,EDENVALE RAND ROAD WARRIORS,South Africa
,41996,S - Group 2,ZA,Maryke BEYERS,Started,Started,40-49,,Female,,MEYERTON AC,South Africa
,42006,R - Group 2,ZA,Sammy MOTHIBELI,Started,Started,40-49,,Male,,QHUBEKA AC,South Africa
,42146,P - Group 2,ZA,Letsie KHUTHA,Started,Started,40-49,,Male,,,South Africa
,42382,L - Group 2,ZA,Kikoo Magan JIVAN,Started,Started,60-69,,Male,,LENASIA AC,South Africa
,42484,C - Group 1,ZA,Gert HENNING,Started,Started,50-59,,Male,,DIE VUILHONDE AC,South Africa
,42587,Q - Group 2,ZA,Lebakeng MOROBANE,Started,Started,40-49,,Male,,KINGDOM EMBASSY AC,South Africa
,42906,S - Group 2,ZA,Warren BAMBER,Started,Started,Senior,,Male,,FAKU CHIEFS AC,South Africa
,43127,E - Group 1,ZA,Jaco ENGELBRECHT,Started,Started,40-49,,Male,,IRENE ATHLETICS CLUB,South Africa
,43406,Q - Group 2,ZA,Ntuthuko ZUMA,Started,Started,40-49,,Male,,RUNNERS OF HOPE,South Africa
